날짜,종가,오픈,고가,저가,거래량,변동 %
2023- 01- 02,289.82,292.97,294.02,289.59,76.77K,-0.44%
2022- 12- 29,291.10,"294.98","295.94","291.10","114.47M","-2.02%"
"2022- 12- 28","297.09","299.36","299.36","296.59","137.29M","-2.34%"
"2022- 12- 27","304.22","303.77","305.02","302.83","122.97M","0.65%"
"2022- 12- 26","302.27","301.76","302.97","300.66","78.88M","0.07%"
"2022- 12- 23","302.07","303.14","304.42","301.47","94.83M","-1.76%"
"2022- 12- 22","307.48","304.66","307.48","303.96","233.31M","1.40%"
"2022- 12- 21","303.23","305.84","305.99","302.92","76.96M","-0.27%"
"2022- 12- 20","304.05","305.65","306.58","302.96","88.75M","-0.89%"
"2022- 12- 19","306.77","306.33","307.99","305.19","77.96M","-0.23%"
"2022- 12- 16","307.48","303.48","307.48","303.09","114.65M","-0.08%"
"2022- 12- 15","307.73","310.73","311.98","307.73","95.26M","-1.76%"
"2022- 12- 14","313.23","310.87","313.41","310.57","83.85M","1.19%"
"2022- 12- 13","309.56","311.26","311.85","308.54","101.88M","-0.03%"
"2022- 12- 12","309.64","309.38","310.69","308.70","85.71M","-0.64%"
"2022- 12- 09","311.63","309.81","312.06","308.76","113.45M","1.10%"
"2022- 12- 08","308.24","308.78","309.00","306.01","121.10M","-0.01%"
"2022- 12- 07","308.27","309.11","310.25","308.08","92.85M","-0.60%"
"2022- 12- 06","310.14","310.90","313.34","309.70","100.04M","-1.20%"
"2022- 12- 05","313.91","316.26","317.07","312.92","113.97M","-0.35%"
"2022- 12- 02","315.02","320.76","320.76","315.02","114.75M","-2.17%"
